AppID,Recommendations,Estimated owners,Average playtime forever,Average playtime two weeks,Median playtime forever,Median playtime two weeks,Peak CCU
3600,0,50000 - 100000,19,0,19,0,8
3610,0,20000 - 50000,10,0,10,0,1
3620,1269,100000 - 200000,530,0,568,0,171
3700,2333,500000 - 1000000,356,112,87,112,34
3710,830,50000 - 100000,91,0,113,0,3
3720,2797,200000 - 500000,296,1059,229,1059,26
3730,1990,200000 - 500000,221,0,286,0,6
3800,335,50000 - 100000,937,0,992,0,1
3810,458,50000 - 100000,127,0,159,0,0
3820,361,50000 - 100000,293,0,416,0,2
3830,8721,2000000 - 5000000,464,395,180,757,97
3900,1991,1000000 - 2000000,314,0,233,0,785
3910,3929,1000000 - 2000000,725,0,41,0,1775
3920,4335,200000 - 500000,480,0,276,0,189
3960,120,20000 - 50000,14,0,14,0,1
3980,545,50000 - 100000,90,0,90,0,22
3990,260,500000 - 1000000,9377,1085,219,1085,222
4000,725462,20000000 - 50000000,10891,441,1239,150,37574
4100,0,0 - 20000,0,0,0,0,0
4230,0,20000 - 50000,2578,0,2578,0,1
4240,0,200000 - 500000,0,0,0,0,0
4290,0,0 - 20000,0,0,0,0,0
4300,0,20000 - 50000,25,0,25,0,0
4420,108,20000 - 50000,465,0,465,0,1
4460,168,20000 - 50000,0,0,0,0,4
4470,0,20000 - 50000,0,0,0,0,2
4500,23616,1000000 - 2000000,819,36,327,43,518
4520,201,50000 - 100000,7,0,7,0,2
4530,154,100000 - 200000,2,0,2,0,2
4560,3994,2000000 - 5000000,470,0,137,0,164
4570,5505,1000000 - 2000000,370,0,173,0,121
4580,5332,1000000 - 2000000,998,0,397,0,448
4700,18762,1000000 - 2000000,2566,0,281,0,4327
4720,1814,200000 - 500000,200,0,164,0,10
4760,11225,1000000 - 2000000,895,0,206,0,1094
4770,629,500000 - 1000000,252,0,252,0,32
4780,545,200000 - 500000,0,0,0,0,0
4800,392,100000 - 200000,2275,0,2275,0,10
4850,1892,200000 - 500000,2300,1,2579,1,180
4870,211,50000 - 100000,42,0,43,0,23
4880,352,100000 - 200000,124,0,124,0,18
4890,683,100000 - 200000,652,0,958,0,77
